Run,Architecture,Latency,Throughput,CPU,Memory
1,Blocking,840.0,950,85,550
2,Blocking,841.0,951,86,551
3,Blocking,839.0,949,85,549
4,Blocking,840.5,952,86,550
5,Blocking,840.0,950,85,551
6,Blocking,841.0,951,86,550
7,Blocking,839.5,949,85,549
8,Blocking,840.0,950,85,550
9,Blocking,840.5,952,86,551
10,Blocking,839.0,948,85,550
1,Async,Latency,Throughput,CPU,Memory
1,Async,620.0,1100,75,510
2,Async,621.0,1102,76,511
3,Async,619.0,1098,75,509
4,Async,620.5,1101,76,510
5,Async,620.0,1100,75,511
6,Async,621.0,1102,76,510
7,Async,619.5,1099,75,509
8,Async,620.0,1100,75,510
9,Async,620.5,1101,76,511
10,Async,619.0,1098,75,510
1,Reactive,Latency,Throughput,CPU,Memory
1,Reactive,360.0,1600,65,490
2,Reactive,361.0,1602,66,491
3,Reactive,359.0,1598,65,489
4,Reactive,360.5,1601,66,490
5,Reactive,360.0,1600,65,491
6,Reactive,361.0,1602,66,490
7,Reactive,359.5,1599,65,489
8,Reactive,360.0,1600,65,490
9,Reactive,360.5,1601,66,491
10,Reactive,359.0,1598,65,490
