Run,Architecture,Latency,Throughput,CPU,Memory
1,Blocking,85.0,1150,55,520
2,Blocking,84.8,1148,54,518
3,Blocking,85.2,1152,55,522
4,Blocking,85.1,1150,56,521
5,Blocking,84.9,1149,55,519
6,Blocking,85.0,1151,55,520
7,Blocking,85.2,1153,56,522
8,Blocking,85.1,1150,55,520
9,Blocking,84.9,1148,54,518
10,Blocking,85.0,1151,55,521
1,Async,Latency,Throughput,CPU,Memory
1,Async,62.0,1350,45,485
2,Async,61.8,1348,44,484
3,Async,62.1,1352,45,486
4,Async,62.0,1350,44,485
5,Async,61.9,1349,45,484
6,Async,62.1,1351,44,486
7,Async,62.0,1350,45,485
8,Async,61.8,1348,44,484
9,Async,62.0,1352,45,486
10,Async,61.9,1350,44,485
1,Reactive,Latency,Throughput,CPU,Memory
1,Reactive,36.0,1750,35,455
2,Reactive,36.2,1752,34,456
3,Reactive,36.1,1750,35,454
4,Reactive,36.0,1751,34,455
5,Reactive,36.1,1750,35,456
6,Reactive,36.2,1752,34,455
7,Reactive,36.0,1750,35,454
8,Reactive,36.1,1751,34,456
9,Reactive,36.0,1750,35,455
10,Reactive,36.2,1752,34,456
