Run,Architecture,Latency,Throughput,CPU,Memory
1,Blocking,170.0,1100,65,530
2,Blocking,169.8,1098,64,528
3,Blocking,170.2,1102,65,532
4,Blocking,170.1,1100,66,531
5,Blocking,169.9,1099,65,529
6,Blocking,170.0,1101,65,530
7,Blocking,170.2,1103,66,532
8,Blocking,170.1,1100,65,530
9,Blocking,169.9,1098,64,528
10,Blocking,170.0,1101,65,531
1,Async,Latency,Throughput,CPU,Memory
1,Async,124.0,1300,55,490
2,Async,124.2,1302,54,491
3,Async,124.1,1300,55,492
4,Async,124.0,1301,54,490
5,Async,124.1,1302,55,491
6,Async,124.0,1300,54,492
7,Async,124.2,1301,55,490
8,Async,124.1,1300,54,491
9,Async,124.0,1302,55,492
10,Async,124.1,1300,54,490
1,Reactive,Latency,Throughput,CPU,Memory
1,Reactive,72.0,1700,45,460
2,Reactive,72.2,1702,44,461
3,Reactive,72.1,1700,45,462
4,Reactive,72.0,1701,44,460
5,Reactive,72.1,1700,45,461
6,Reactive,72.2,1702,44,462
7,Reactive,72.0,1700,45,460
8,Reactive,72.1,1701,44,461
9,Reactive,72.0,1700,45,462
10,Reactive,72.2,1702,44,460
