Run,Architecture,Latency,Throughput,CPU,Memory
1,Blocking,420.0,1000,75,540
2,Blocking,421.0,1001,76,541
3,Blocking,419.0,999,75,539
4,Blocking,420.5,1002,76,540
5,Blocking,420.0,1000,75,541
6,Blocking,421.0,1001,76,540
7,Blocking,419.5,999,75,539
8,Blocking,420.0,1000,75,540
9,Blocking,420.5,1002,76,541
10,Blocking,419.0,998,75,540
1,Async,Latency,Throughput,CPU,Memory
1,Async,310.0,1200,65,500
2,Async,311.0,1202,66,501
3,Async,309.0,1198,65,499
4,Async,310.5,1201,66,500
5,Async,310.0,1200,65,501
6,Async,311.0,1202,66,500
7,Async,309.5,1199,65,499
8,Async,310.0,1200,65,500
9,Async,310.5,1201,66,501
10,Async,309.0,1198,65,500
1,Reactive,Latency,Throughput,CPU,Memory
1,Reactive,180.0,1500,55,480
2,Reactive,181.0,1502,56,481
3,Reactive,179.0,1498,55,479
4,Reactive,180.5,1501,56,480
5,Reactive,180.0,1500,55,481
6,Reactive,181.0,1502,56,480
7,Reactive,179.5,1499,55,479
8,Reactive,180.0,1500,55,480
9,Reactive,180.5,1501,56,481
10,Reactive,179.0,1498,55,480
